plant_name,plant_code,latitude,longitude,ac_capacity,dc_capacity,dc_loss_factor,temperature_coefficient,tracking,tracking_type,fixed_tilt,fixed_azimuth,axis_tilt,axis_azimuth,backtrack,max_rotation_angle,ground_coverage_ratio,Crystalline Silicon?,Thin-Film (CdTe)?,Operating_Month,Operating_Year
Curry Solar,64226,32.038819,-82.140318,1.1,1.7,0.15,-0.35,,fixed,30,180,NaN,NaN,NaN,NaN,0.5,Y,,6,2015
IKEA Savannah 490,58011,32.177535,-81.173775,1,1.5,0.15,-0.35,,fixed,12,180,NaN,NaN,NaN,NaN,0.5,Y,,1,2021
Laredo Bus Facility Solar Canopies,58064,33.783333,-84.267778,1,1.2,0.15,-0.35,,fixed,20,180,NaN,NaN,NaN,NaN,0.5,Y,,1,2012
Valdosta,60448,30.81012,-83.225958,1,1.3,0.15,-0.35,,fixed,25,180,NaN,NaN,NaN,NaN,0.5,Y,,10,2013
Greenville,60512,33.045801,-84.714434,1,2,0.15,-0.35,,fixed,25,180,NaN,NaN,NaN,NaN,0.5,Y,,9,2014
Richland,60513,32.088982,-84.663529,1,1,0.15,-0.35,,fixed,25,180,NaN,NaN,NaN,NaN,0.5,Y,,9,2014
Vidalia Water Treatment Plant,60515,31.050322,-83.394659,1,1,0.15,-0.35,,fixed,20,180,NaN,NaN,NaN,NaN,0.5,Y,,1,2014
Tri-County Solar Facility,60544,33.308113,-83.389601,1,1.4,0.15,-0.35,,fixed,22,180,NaN,NaN,NaN,NaN,0.5,Y,N,6,2016
Mount Vernon Solar,60585,33.8388,-83.638,1,1.3,0.15,-0.35,,fixed,20,180,NaN,NaN,NaN,NaN,0.5,Y,,7,2015
Valdosta Prison,61468,30.9,-83.3,1,1.5,0.15,-0.35,,fixed,25,180,NaN,NaN,NaN,NaN,0.5,Y,,8,2017
Bibb Jones,62880,32.777747,-83.756164,1,1.3,0.15,-0.35,Y,single_axis,10,180,0,180,True,60,0.35,Y,,2,2019
Bainbridge Solar,64011,30.967159,-84.625537,1,1.3,0.15,-0.35,,fixed,20,180,NaN,NaN,NaN,NaN,0.5,Y,,4,2019
Lakeland Solar Energy LLC,58572,31.026944,-83.055,0.9,1,0.15,-0.35,,fixed,25,180,NaN,NaN,NaN,NaN,0.5,Y,,12,2013
Lakeland Solar Energy LLC,58572,31.026944,-83.055,0.9,1,0.15,-0.35,,fixed,25,180,NaN,NaN,NaN,NaN,0.5,Y,,12,2013
Upson Rocky Creek Solar Plant,58485,32.920833,-84.343056,0.8,1,0.15,-0.35,,fixed,30,180,NaN,NaN,NaN,NaN,0.5,Y,,6,2012
Atlanta Falcons Solar,62393,33.755421,-84.400933,0.5,0.6,0.15,-0.35,,fixed,8,196,NaN,NaN,NaN,NaN,0.5,Y,,9,2016
Atlanta Falcons Solar,62393,33.755421,-84.400933,0.3,0.4,0.15,-0.35,,fixed,5,180,NaN,NaN,NaN,NaN,0.5,Y,,10,2015
Atlanta Falcons Solar,62393,33.755421,-84.400933,0.2,0.2,0.15,-0.35,,fixed,10,231.9,NaN,NaN,NaN,NaN,0.5,Y,,10,2017
,,,,,,0.15,-0.25,,fixed,,,NaN,NaN,NaN,NaN,0.5,,,,
,,,,,,0.15,-0.25,,fixed,,,NaN,NaN,NaN,NaN,0.5,,,,
,,,,,,0.15,-0.25,,fixed,,,NaN,NaN,NaN,NaN,0.5,,,,
,,,,,,0.15,-0.25,,fixed,,,NaN,NaN,NaN,NaN,0.5,,,,
,,,,,,0.15,-0.25,,fixed,,,NaN,NaN,NaN,NaN,0.5,,,,
,,,,,,0.15,-0.25,,fixed,,,NaN,NaN,NaN,NaN,0.5,,,,
